Nov 21 13:14:32 hmland node[4131420]: [13:14:32,460] [INFO] [system] Ladung gestartet mit 7A @ 1P (Strategie: surplus_battery_prio)
Nov 21 13:14:34 hmland node[4131420]: [13:14:34,519] [INFO] [system] [Wallbox-Broadcast-Listener] State geändert: 5 → 2 (ready for charging) (von 192.168.40.16)
Nov 21 13:14:35 hmland node[4131420]: [13:14:35,531] [INFO] [system] [Wallbox-Broadcast-Listener] State geändert: 2 → 3 (charging) (von 192.168.40.16)
Nov 21 13:14:35 hmland node[4131420]: [13:14:35,610] [INFO] [system] [RECONCILE] Context sagt isActive=true, aber Wallbox lädt nicht (State=2, Power=0mW) → setze isActive=false
Nov 21 13:14:40 hmland node[4131420]: [13:14:40,360] [INFO] [system] [RECONCILE] Context sagt isActive=false, aber Wallbox lädt (State=3, Power=1572355mW) → setze isActive=true
Nov 21 13:14:40 hmland node[4131420]: [13:14:40,371] [INFO] [system] [surplus_battery_prio] Überschuss unter Schwellwert: 884W < 1000W - Stopp-Timer gestartet
Nov 21 13:14:40 hmland node[4131420]: [13:14:40,373] [INFO] [system] [surplus_battery_prio] result=null && isActive → Batterie-Priorisierung: Überschuss reicht nicht (< 1380W @ 1P) - STOP
Nov 21 13:14:41 hmland node[4131420]: [13:14:41,411] [INFO] [system] Ladung gestoppt
Nov 21 13:14:41 hmland node[4131420]: [13:14:41,432] [INFO] [system] [Wallbox-Broadcast-Listener] State geändert: 3 → 5 (authorization rejected) (von 192.168.40.16)
Nov 21 13:15:10 hmland node[4131420]: [13:15:10,370] [INFO] [system] Start-Bedingung erfüllt: Überschuss 1658.7W > 1500W für 34.751s
Nov 21 13:15:12 hmland node[4131420]: [13:15:12,508] [INFO] [system] Ladung gestartet mit 7A @ 1P (Strategie: surplus_battery_prio)
Nov 21 13:15:14 hmland node[4131420]: [13:15:14,567] [INFO] [system] [Wallbox-Broadcast-Listener] State geändert: 5 → 2 (ready for charging) (von 192.168.40.16)
Nov 21 13:15:15 hmland node[4131420]: [13:15:15,579] [INFO] [system] [Wallbox-Broadcast-Listener] State geändert: 2 → 3 (charging) (von 192.168.40.16)
Nov 21 13:15:21 hmland node[4131420]: [13:15:21,364] [INFO] [system] [surplus_battery_prio] Überschuss unter Schwellwert: 967W < 1000W - Stopp-Timer gestartet
Nov 21 13:15:21 hmland node[4131420]: [13:15:21,368] [INFO] [system] [surplus_battery_prio] result=null && isActive → Batterie-Priorisierung: Überschuss reicht nicht (< 1380W @ 1P) - STOP
Nov 21 13:15:23 hmland node[4131420]: [13:15:23,464] [INFO] [system] [surplus_battery_prio] result=null && isActive → Batterie-Priorisierung: Überschuss reicht nicht (< 1380W @ 1P) - STOP
Nov 21 13:15:24 hmland node[4131420]: [13:15:24,509] [INFO] [system] Ladung gestoppt
Nov 21 13:15:24 hmland node[4131420]: [13:15:24,579] [INFO] [system] [Wallbox-Broadcast-Listener] State geändert: 3 → 5 (authorization rejected) (von 192.168.40.16)
Nov 21 13:15:25 hmland node[4131420]: [13:15:25,558] [INFO] [system] Ladung gestoppt
Nov 21 13:16:00 hmland node[4131420]: [13:16:00,367] [INFO] [system] Start-Bedingung erfüllt: Überschuss 1620.9W > 1500W für 30.001s
Nov 21 13:16:02 hmland node[4131420]: [13:16:02,575] [INFO] [system] Ladung gestartet mit 7A @ 1P (Strategie: surplus_battery_prio)
